timestamp,time,load,cpu_usage,gpu_power,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3,cpu_core_4,cpu_core_5,cpu_core_6,cpu_core_7,cpu_core_8,cpu_core_9,cpu_core_10,cpu_core_11,cpu_core_12,cpu_core_13,cpu_core_14,cpu_core_15,cpu_freq,cpu_temp,gpu_temp,current,voltage,power,proc_count,nvidia_util,nvidia_power,nvidia_temp,fan1,fan2,stage
1776305490.4053361,07:41:30,NO_LOAD,33.3,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1275.7,45.9,45.0,1.426,16.10,22.96,422,0.0,0.0,0.0,44,45,2
1776305493.5503068,07:41:33,NO_LOAD,6.8,3.19,8.2,2.9,14.6,8.0,9.9,0.0,19.4,8.3,5.1,0.3,22.3,0.3,4.8,1.3,4.2,0.0,1302.7,48.2,42.0,2.053,15.83,32.49,422,0.0,10.9,40.0,45,48,2
1776305494.7496195,07:41:34,NO_LOAD,5.7,5.04,10.7,4.2,8.5,11.8,10.1,0.0,16.1,0.8,11.0,0.8,4.2,0.0,2.5,2.5,6.7,0.8,1297.3,46.4,42.0,1.598,15.97,25.52,422,0.0,10.9,40.0,48,46,2
1776305495.9883265,07:41:35,NO_LOAD,5.3,4.05,5.7,4.1,6.7,15.6,6.6,0.8,6.5,22.8,5.7,0.0,1.6,0.0,2.5,1.7,3.3,1.6,1326.7,45.2,42.0,1.575,15.95,25.13,422,0.0,10.9,41.0,46,45,2
1776305497.2542675,07:41:37,NO_LOAD,2.1,4.06,2.4,4.0,2.5,4.0,4.0,0.0,6.3,5.5,2.4,0.0,1.6,0.0,2.3,0.8,0.8,0.0,1159.1,44.4,42.0,1.493,16.00,23.89,422,0.0,10.9,41.0,45,44,2
1776305498.4787984,07:41:38,NO_LOAD,1.5,3.20,2.5,4.9,2.5,1.6,3.3,0.0,2.5,3.3,1.6,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1297.6,43.9,42.0,1.461,16.04,23.43,422,0.0,10.8,41.0,44,44,2
1776305499.7264278,07:41:39,NO_LOAD,1.2,3.19,1.6,2.5,4.8,0.0,1.6,0.0,1.6,4.0,1.6,0.8,0.8,0.0,0.0,0.0,0.8,0.0,1269.3,43.6,42.0,1.429,16.04,22.92,422,0.0,10.9,41.0,43,43,2
1776305500.969523,07:41:40,NO_LOAD,1.0,3.19,0.8,4.1,3.3,0.0,0.8,0.0,1.6,0.8,1.6,0.0,0.8,0.8,0.8,0.8,0.8,0.0,1184.2,43.5,42.0,1.421,16.02,22.76,422,0.0,10.9,41.0,43,43,2
1776305502.150637,07:41:42,NO_LOAD,2.1,3.25,4.3,5.1,6.8,0.8,2.5,0.0,2.5,2.5,1.7,0.0,0.9,0.0,0.9,0.0,0.8,0.0,1119.6,43.4,42.0,1.478,16.02,23.68,422,0.0,10.9,41.0,43,43,2
1776305503.393766,07:41:43,NO_LOAD,5.4,3.05,10.4,4.8,7.6,7.3,7.3,0.8,22.1,5.6,8.1,0.0,4.8,0.0,4.8,1.6,3.3,0.0,1231.6,43.6,42.0,1.609,15.99,25.73,422,0.0,11.0,40.0,43,43,2
1776305504.6484404,07:41:44,NO_LOAD,5.1,3.04,8.8,5.6,10.0,15.1,8.9,0.0,13.7,3.2,7.3,0.0,2.4,0.0,2.4,1.6,3.2,0.0,1140.7,43.8,42.0,1.006,16.21,16.31,422,0.0,5.4,40.0,43,43,2
1776305505.8912556,07:41:45,NO_LOAD,1.0,3.05,1.6,4.1,1.7,0.8,1.6,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,1223.5,43.6,42.0,0.859,16.31,14.01,422,0.0,4.6,40.0,43,43,2
1776305507.132947,07:41:47,NO_LOAD,1.6,3.09,3.3,4.0,5.9,0.8,1.6,0.0,4.1,1.6,1.6,0.0,0.8,0.0,0.0,1.6,1.6,0.0,1272.4,43.4,43.0,0.878,16.34,14.35,422,0.0,4.3,40.0,43,43,2
1776305508.3674917,07:41:48,NO_LOAD,2.4,3.04,4.8,4.1,6.0,1.6,4.1,0.0,8.1,1.6,4.1,0.0,2.4,0.0,0.8,0.0,0.8,0.0,1206.5,43.2,42.0,0.909,16.31,14.83,421,0.0,4.3,40.0,43,43,2
1776305509.630347,07:41:49,NO_LOAD,1.0,3.05,1.6,4.8,1.7,0.8,2.4,0.0,3.2,0.8,1.6,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1246.1,43.1,42.0,0.838,16.35,13.70,421,0.0,4.3,40.0,43,43,2
1776305510.7623377,07:41:50,NO_LOAD,2.2,3.05,5.3,5.3,6.5,0.9,4.5,0.9,5.4,1.8,1.8,0.0,1.8,0.0,0.9,0.0,0.9,0.9,1223.8,43.0,42.0,0.912,16.37,14.93,421,0.0,4.3,40.0,43,43,2
1776305511.9182491,07:41:51,NO_LOAD,1.1,2.20,0.9,4.3,1.8,0.9,0.9,0.0,4.3,0.9,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,1203.1,43.0,42.0,0.843,16.33,13.77,421,0.0,4.3,40.0,43,43,2
1776305513.1782901,07:41:53,NO_LOAD,1.9,3.00,1.6,4.0,4.2,0.8,4.0,0.0,5.6,4.8,1.6,0.0,0.8,0.0,0.0,0.8,0.8,0.8,1195.3,43.0,42.0,0.904,16.32,14.75,423,0.0,4.3,40.0,43,43,2
1776305514.435845,07:41:54,NO_LOAD,5.5,3.06,5.6,6.3,16.5,13.6,8.1,0.0,16.1,5.6,7.1,1.6,3.2,0.0,3.2,0.8,3.2,0.0,1130.0,43.4,42.0,0.980,16.29,15.97,423,0.0,4.3,40.0,43,43,2
1776305515.6513638,07:41:55,NO_LOAD,8.5,5.16,11.4,7.4,26.1,9.0,11.7,4.1,15.7,15.0,9.2,4.1,5.8,0.0,6.6,2.5,6.7,1.7,1563.3,44.0,43.0,0.995,16.36,16.28,425,0.0,4.3,40.0,43,43,2
1776305516.818124,07:41:56,NO_LOAD,5.1,4.01,6.1,2.7,8.6,2.6,6.0,0.0,4.3,30.8,4.3,0.0,4.3,0.0,4.3,0.9,4.3,0.0,1269.4,44.0,42.0,0.889,16.32,14.51,424,0.0,4.3,40.0,43,44,2
1776305517.9963179,07:41:57,NO_LOAD,7.7,3.04,13.6,8.5,11.2,5.9,9.4,0.9,3.4,44.0,7.7,1.7,3.4,1.7,2.6,4.3,5.2,1.7,1227.9,44.2,42.0,1.024,16.35,16.74,424,0.0,4.3,40.0,44,43,2
1776305519.2449422,07:41:59,NO_LOAD,7.0,3.09,9.7,7.2,13.8,11.3,10.5,0.0,18.7,14.5,8.1,0.0,4.8,0.8,4.8,3.2,5.6,0.0,1338.7,44.2,42.0,0.979,16.21,15.87,424,0.0,4.4,40.0,43,44,2
1776305520.4952173,07:42:00,NO_LOAD,7.1,3.22,14.2,3.3,12.3,10.5,7.4,0.8,35.0,3.2,8.9,0.0,4.0,0.0,3.3,1.6,5.6,0.0,1618.7,44.2,42.0,1.020,16.33,16.66,424,0.0,4.3,40.0,44,44,2
1776305521.7444808,07:42:01,NO_LOAD,3.3,3.15,4.8,4.0,10.4,3.2,4.0,0.8,17.7,0.0,3.2,0.0,1.6,0.0,2.4,1.6,1.6,0.0,1139.0,44.0,42.0,0.916,16.32,14.95,424,0.0,4.3,40.0,44,44,2
1776305522.9882169,07:42:02,NO_LOAD,2.3,3.22,3.2,4.8,6.5,2.4,3.3,0.8,8.9,0.0,1.6,0.8,1.6,0.0,1.6,0.0,1.6,0.0,1390.2,43.8,42.0,0.876,16.35,14.32,424,0.0,4.3,40.0,44,43,2
1776305524.1473331,07:42:04,NO_LOAD,11.3,8.04,18.8,5.3,41.4,8.6,14.7,4.3,21.1,23.5,13.0,0.9,5.3,1.7,5.3,4.3,9.5,3.4,1792.2,44.4,43.0,1.141,16.23,18.52,424,0.0,4.3,40.0,43,44,2
1776305525.3925693,07:42:05,NO_LOAD,9.2,9.18,19.8,4.9,19.7,19.4,11.9,0.8,15.7,15.1,13.1,1.6,8.1,0.0,3.3,4.2,6.6,0.8,1460.7,44.6,44.0,1.137,16.21,18.44,424,0.0,4.4,40.0,44,44,2
1776305526.6381197,07:42:06,NO_LOAD,6.9,4.12,8.0,4.1,23.6,29.0,7.3,0.0,11.5,0.8,7.3,1.6,4.8,1.6,4.0,2.4,5.7,0.8,1331.4,44.5,42.0,1.202,16.09,19.34,424,0.0,4.4,40.0,44,44,2
1776305527.862286,07:42:07,NO_LOAD,7.8,7.01,10.7,4.1,7.6,47.5,8.3,3.3,8.3,5.8,8.3,0.8,5.7,0.8,3.3,2.5,5.0,0.0,1358.7,44.6,43.0,1.226,16.15,19.80,424,0.0,4.4,40.0,44,44,2
1776305529.081035,07:42:09,NO_LOAD,6.7,7.04,9.8,4.9,22.1,30.3,5.8,3.3,14.4,1.6,5.9,0.8,3.3,0.0,2.5,0.8,2.5,0.0,1273.9,44.6,43.0,1.249,16.21,20.25,424,0.0,4.4,40.0,44,44,2
