cpu_usage,temperature,power,frequency,fan_rpm
33.3,46.40578036867568,22.96,1275.7,28.038091913033433
6.8,48.579342790097634,32.49,1302.7,52.649972771471596
5.7,46.89668431163535,25.52,1297.3,43.613671779871986
5.3,45.688198962609995,25.13,1326.7,42.776688051593744
2.1,44.75919903124467,23.89,1159.1,76.52471478782361
1.5,44.355302710520085,23.43,1297.6,47.44262232662561
1.2,44.16089602744016,22.92,1269.3,36.6705437555716
1.0,43.95889404816876,22.76,1184.2,39.698235155989494
2.1,43.74781505582824,23.68,1119.6,55.25362154230574
5.4,43.93396198021033,25.73,1231.6,44.738118888165104
5.1,44.10910122612137,16.31,1140.7,29.083447782195677
1.0,44.064592694410685,14.01,1223.5,52.54020777631598
1.6,43.757141883211055,14.35,1272.4,36.56591481058942
2.4,43.47327118631394,14.83,1206.5,61.894855078257905
1.0,43.42286668187511,13.7,1246.1,53.88970137581657
2.2,43.29537562286499,14.93,1223.8,38.55424365428207
1.1,43.33395487151977,13.77,1203.1,55.785131836590274
1.9,43.468487342776896,14.75,1195.3,43.60890309162731
5.5,43.72631702786258,15.97,1130.0,51.42015753962248
8.5,44.42612967197053,16.28,1563.3,47.707510843085
5.1,44.421949411955566,14.51,1269.4,34.36921371971048
7.7,44.63444945590643,16.74,1227.9,36.52286490600171
7.0,44.59595349676298,15.87,1338.7,53.215841920611496
7.1,44.533968887727795,16.66,1618.7,39.68154536201449
3.3,44.38396068493208,14.95,1139.0,39.08891924819795
2.3,44.174732907035114,14.32,1390.2,33.6558675050317
11.3,44.71507960602023,18.52,1792.2,47.363644959681054
9.2,44.92879132750643,18.44,1460.7,63.83425535061593
6.9,44.888449159321056,19.34,1331.4,32.602826091914075
7.8,44.99063416837557,19.8,1358.7,43.57912651601587
6.7,44.987222097334815,20.25,1273.9,57.509097711049336
8.9,45.38415414459382,20.72,1235.5,42.632944420903634
7.2,45.31801391055903,19.46,1253.5,47.989172545854004
10.0,45.52365537608262,21.94,1241.2,32.87220111438437
7.1,45.51672865230837,19.77,1385.8,47.95416190855167
6.4,45.27787259492751,19.83,1456.9,41.94835964595841
9.2,45.86495787790392,20.89,1446.7,53.80350690840194
9.1,47.099893439118034,22.82,1459.3,55.92751142451033
6.7,46.40103433696702,20.32,1272.5,70.33836469271954
7.3,46.221028235374696,19.46,1411.2,50.42090076378914
9.7,49.345421136840216,28.01,1569.5,47.88822184272705
9.1,48.393046448042625,22.16,1398.2,47.02556289114294
